id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en04052c0f20834cf1bac19927d8f758e0-10,en04052c0f20834cf1bac19927d8f758e0,en,40、INT. ENTERPRISE BRIDGE ; 49、INT. ENTERPRISE BRIDGE,What action by Kirk immediately prior to the Reliant's approach creates the conditions for his subsequent order to raise yellow alert?,Kirk orders Visual and observes the Reliant slowing in their quadrant,"Sulu reports the Reliant in their section of the quadrant and slowing. Kirk orders 'Visual,' watches the Reliant on screen, judges the situation 'damned peculiar,' and then orders yellow alert.",Causal-Motivational Reasoning
legacy-en04052c0f20834cf1bac19927d8f758e0-11,en04052c0f20834cf1bac19927d8f758e0,en,10、EXT. SURFACE CETI ALPHA V ; 10、EXT. SURFACE CETI ALPHA V,What event immediately enables the discovery of the wreckage on the ridge?,Terrell and Chekov materialize on a stormy planet,"Terrell and Chekov arrive on a desolate, storm-wracked planet amid blinding winds and low visibility, struggling to confirm their coordinates. As they orient themselves in the harsh conditions, Terrell pushes forward and signals Chekov to follow him up a rise, where the wreckage—initially obscured by the storm and terrain—comes into view below. Their arrival at this location is the necessary precondition for the subsequent discovery.",Causal-Motivational Reasoning
legacy-en04052c0f20834cf1bac19927d8f758e0-12,en04052c0f20834cf1bac19927d8f758e0,en,1、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE ; 328、INT. ENTERPRISE BRIDGE,How does Commander Uhura's functional relationship with the Starship Enterprise evolve across the bridge scenes from the initial call to Regula I through the final communication under duress?,Commander Uhura continues to speak for the Starship Enterprise as its designated communications officer,"From the opening bridge scenes through later moments of crisis, Uhura consistently uses the ship's communication system to transmit official messages, addressing external parties in the voice of the Enterprise, such as during the repeated hails to Regula I and the command to the Reliant. Her role remains institutionally fixed: she speaks to external entities on behalf of the ship, treating the Enterprise as a sovereign agent, and in doing so maintains a persistent functional link where her voice enacts the ship's communicative authority.",Role-Relation Continuity
legacy-en04052c0f20834cf1bac19927d8f758e0-13,en04052c0f20834cf1bac19927d8f758e0,en,0、INT. ENTERPRISE BRIDGE ; 345、EXT. SPACE,"What consistent role does Sulu hold in relation to Saavik throughout the narrative, based on their interactions from the bridge command in the opening scenes to the final space sequence?",subordinate,"In multiple scenes, including the initial bridge command [0、INT. ENTERPRISE BRIDGE] and later coordination during active duty [0、INT. ENTERPRISE BRIDGE], Sulu responds to Saavik’s orders with 'Aye, Captain,' indicating a clear chain of command. This pattern persists through the final sequence [345、EXT. SPACE], where both carry out ceremonial duties in roles that reflect established hierarchy, confirming Sulu’s ongoing role as Saavik’s subordinate.",Role-Relation Continuity
legacy-en04052c0f20834cf1bac19927d8f758e0-14,en04052c0f20834cf1bac19927d8f758e0,en,48、INT. BRIDGE - THE RELIANT ; 330、INT. RELIANT BRIDGE,How does Khan Noonian Singh's stance toward the Starship Enterprise evolve from their initial confrontation to the final moments aboard the Reliant?,Khan consistently expresses hostility toward the Starship Enterprise,"From the moment Khan detects the Enterprise, he responds with aggressive actions and verbal threats, beginning with locking phasers and firing in the early stages of their encounter. Throughout subsequent scenes, including active combat and system disruptions, his adversarial behavior persists, culminating in a final declaration of vengeance as he faces destruction, reinforcing an unbroken pattern of hostility directed at the Enterprise.",Role-Relation Continuity
legacy-en04052c0f20834cf1bac19927d8f758e0-15,en04052c0f20834cf1bac19927d8f758e0,en,"17、INT. SPACE SHUTTLE ; 17、INT. SPACE SHUTTLE ; 24、INT. BRIDGE, ENTERPRISE",What event initiates the sequence in which command is transferred aboard the Enterprise and the ship departs spacedock?,Admiral Kirk's Party Approaches the Enterprise,"As Admiral Kirk and his party board the Enterprise in a shuttle, their arrival sets in motion the formal handover of bridge command, crew positioning, and departure procedures. This moment triggers the chain of actions where Kirk assigns Sulu to command, Saavik pilots the ship out of spacedock, and Spock authorizes the navigational course, marking the operational commencement of the mission. [scene: INT. SPACE SHUTTLE]",Narrative Progression
legacy-en04052c0f20834cf1bac19927d8f758e0-16,en04052c0f20834cf1bac19927d8f758e0,en,10、EXT. SURFACE CETI ALPHA V ; 10、EXT. SURFACE CETI ALPHA V ; 11、INT. CARGO HOLD,"What pivotal event sets in motion the sequence leading to the discovery of the wreckage, the encounter with the child's sound, and the confrontation with the suited figures?",Terrell and Chekov arrive in the sandstorm,"The arrival of Terrell and Chekov during the sandstorm marks a critical shift in the narrative, initiating a chain of events that unfolds on the planet's surface. From this moment, the characters move directly into the ridge ascent, stumble upon the wreckage, react to an unsettling gurgling sound, and are ultimately surrounded by mysterious figures in protective suits. [scene: EXT. SURFACE CETI ALPHA V]",Narrative Progression
legacy-en04052c0f20834cf1bac19927d8f758e0-17,en04052c0f20834cf1bac19927d8f758e0,en,"8、INT. KIRK'S APARTMENT, TERRA - NIGHT ; 8、INT. KIRK'S APARTMENT, TERRA - NIGHT ; 8、INT. KIRK'S APARTMENT, TERRA - NIGHT",What pivotal moment shifts the narrative toward Kirk's reengagement with command and the subsequent activation of the ship's propulsion?,Bones Urges Kirk to Reclaim His Command,"In Kirk's apartment on Terra, Bones confronts him about his reluctance to lead, pressing him to accept responsibility once more. This confrontation sets in motion Kirk's emotional return to duty, directly influencing his acceptance of the antique glasses as a symbolic gesture of readiness and culminating in Saavik initiating propulsion while Kirk hesitates, signaling the transition of command. [scene: 8、INT. KIRK'S APARTMENT, TERRA - NIGHT]",Narrative Progression
legacy-en04052c0f20834cf1bac19927d8f758e0-18,en04052c0f20834cf1bac19927d8f758e0,en,10、EXT. SURFACE CETI ALPHA V ; 10、EXT. SURFACE CETI ALPHA V ; 11、INT. CARGO HOLD,What pivotal event sets in motion the sequence leading to Chekov's encounter at the porthole and the confrontation with the suited figures?,Ascend the Ridge and Discover the Wreckage,"The discovery of the wreckage after ascending the ridge marks a critical shift in the narrative, exposing the crew to the presence of the alien entity and initiating the chain of events that culminates in Chekov's disturbing vision, the eerie child's gurgle, and the eventual encirclement of Terrell and Chekov by mysterious suited figures [10、EXT. SURFACE CETI ALPHA V].",Narrative Progression
legacy-en04052c0f20834cf1bac19927d8f758e0-2,en04052c0f20834cf1bac19927d8f758e0,en,49、INT. ENTERPRISE BRIDGE,What judgment does Kirk make upon observing the Reliant's unexpected deceleration?,The situation is peculiar,"The Enterprise detects the Reliant entering their quadrant and slowing unexpectedly. Sulu reports the vessel's movement, and visual contact is established. Saavik begins citing General Order 12, but Spock interrupts, noting the Admiral's familiarity with protocol. Kirk focuses on the viewscreen, describes the situation as peculiar, and orders yellow alert. Saavik activates defense fields, alarms sound, and the crew assumes battle stations. Uhura intercepts a message from the Reliant citing communication failure due to a malfunctioning Chambers coil, and Spock proceeds to his station to initiate scans.",Character Understanding
