id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en4f8be69c09c643ddb50e5d728ced107f-10,en4f8be69c09c643ddb50e5d728ced107f,en,61、INT. Fairview House - NIGHT ; 61、INT. Fairview House - NIGHT,What moment of emotional confrontation explains Sasha Keaton's abrupt departure and Valerie Cavendish's subdued reaction during the tea scene?,Sasha Keaton expresses resentment and emotional pain toward Valerie Cavendish,"In the yard, Sasha Keaton confronts Valerie Cavendish about the fallout from Morgan Monroe’s incident, accusing her of undermining her and turning her into the villain. As Sasha Keaton speaks of sacrifice and the weight of motherhood, her anger gives way to raw pain. Valerie Cavendish, initially defiant, falls silent and leaves without responding. This unresolved tension carries into the Fairview House later, where Sasha Keaton abruptly exits during tea, returning only to offer a quiet, weighted remark before leaving again, while Valerie Cavendish sits in silence, reacting to the emotional residue of their earlier exchange.",Causal-Motivational Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-11,en4f8be69c09c643ddb50e5d728ced107f,en,45、INT. LIVING ROOM - CONTINUOUS ; 50、EXT. Fairview House - DAY,What action by Sasha Keaton creates the emotional shift that leads Morgan Monroe to embrace her after receiving the video editor?,Sasha Keaton persuades Morgan Monroe to sit beside her,"In the living room, Sasha Keaton speaks candidly with Morgan Monroe about family, change, and choosing to see the good in difficult situations. She invites Morgan Monroe to sit beside her, guiding her toward acceptance of Valerie Cavendish’s growing role in their lives. Through this quiet, heartfelt conversation, Sasha Keaton fosters a moment of connection and understanding, setting the emotional foundation for Morgan Monroe’s later gesture of affection when she receives the video editor.",Causal-Motivational Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-12,en4f8be69c09c643ddb50e5d728ced107f,en,61、INT. Fairview House - NIGHT ; 61、INT. Fairview House - NIGHT,What action by Sasha Keaton creates the emotional weight that leads to her abrupt departure and Valerie Cavendish's silent reaction over the tea?,Sasha Keaton removes her wig to reveal chemotherapy-affected scalp,"In the Fairview House, Sasha Keaton confronts Valerie Cavendish with the truth about her health by removing her wig, exposing the physical effects of chemotherapy. She reveals she is not relocating for a job, but for cancer treatment. Valerie Cavendish is stunned, her expression shifting from confusion to sorrow as the gravity of Sasha Keaton’s situation sinks in. This moment of raw disclosure precedes Sasha Keaton’s sudden exit, her return, and her quiet, weighted remark before leaving for good, after which Valerie Cavendish sits alone, tasting the tea but unable to drink it.",Causal-Motivational Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-13,en4f8be69c09c643ddb50e5d728ced107f,en,56、EXT. SOCCER FIELD - 3 O'CLOCK PRACTICE ; 57、INT. EMERGENCY ROOM - DAY,What action by Valerie Cavendish creates the emotional foundation for Sasha Keaton's silent observation of her and Shawn Delaney in the hospital?,Valerie Cavendish checks on Sasha Keaton's well-being during the soccer game,"During the soccer practice, Valerie Cavendish notices Sasha Keaton seems withdrawn and asks about her mood. Sasha Keaton opens up about considering a part-time return to work at Pinecrest Holdings, including potential overnight trips, and asks Valerie Cavendish to keep it confidential. Valerie Cavendish responds with supportive enthusiasm, but a quiet tension lingers as Sasha Keaton avoids eye contact. This moment establishes a subtle emotional intimacy and unspoken complexity that underlies Sasha Keaton’s later stillness and silence as she watches Valerie Cavendish and Shawn Delaney together in the hospital room.",Causal-Motivational Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-14,en4f8be69c09c643ddb50e5d728ced107f,en,70、EXT. YARD - DAY ; 165、EXT. YARD - DAY,How does Sasha Keaton's treatment of Firewoman Nico Hayes evolve from their first interaction to their later encounter in the yard?,Sasha Keaton consistently speaks to Firewoman Nico Hayes with condescension and distrust,"From the initial exchange in the yard, where Sasha Keaton responds to Nico Hayes's feedback with defensiveness and a sharp tone, to their later interaction in the same setting, Sasha Keaton maintains a dismissive and adversarial stance, using condescending language and showing clear distrust, indicating a sustained negative relational pattern throughout these scenes.",Role-Relation Continuity
legacy-en4f8be69c09c643ddb50e5d728ced107f-16,en4f8be69c09c643ddb50e5d728ced107f,en,57、INT. EMERGENCY ROOM - DAY ; 80、INT. Fairview House - DAY ; 71、INT. Shawn Delaney'S BEDROOM - NIGHT,What pivotal event sets in motion Sasha Keaton's private moments of reflection and her decision to express gratitude to Remy Thorne?,Sasha Keaton Leaves Work and Walks to Shawn Delaney's Room,"After completing her shift, Sasha Keaton departs the hospital and makes her way to Shawn Delaney's room, a solitary journey that marks a shift from professional duty to personal reckoning. This movement initiates a sequence of intimate actions—viewing photos in her bedroom, observing her sleeping Shawn Delaney, and ultimately seeking out Remy Thorne—each revealing her emotional reorientation. [scene: INT. EMERGENCY ROOM - DAY]",Narrative Progression
legacy-en4f8be69c09c643ddb50e5d728ced107f-25,en4f8be69c09c643ddb50e5d728ced107f,en,39、INT. DOCTOR'S OFFICE - AFTERNOON ; 64、INT. Fairview House - NIGHT,"By the time Morgan Monroe confronts Sasha Keaton about the cancer diagnosis, what key medical revelation has already taken place?",Cancer cells found in lymph nodes,"Before Morgan Monroe confronts Sasha Keaton in the Fairview House at night, the doctor has already informed Sasha Keaton of the test results during an afternoon appointment in the oncology office, confirming the spread of cancer to her lymph nodes. This development directly sets the stage for the emotional confrontation, as Morgan Monroe reacts to Sasha Keaton's decision to keep the news private. The two scenes are separated by a narrative gap of several hours and multiple intervening character threads.",Temporal Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-26,en4f8be69c09c643ddb50e5d728ced107f,en,"69、INT. Fairview House - DAY ; 83、EXT. CAR POOL LINE, ELEMENTARY SCHOOL - DAY","By the time Morgan Monroe runs to Valerie Cavendish after the plan succeeds, what moment between her and Sasha Keaton has already taken place?",Sasha Keaton and Morgan Monroe peel hardboiled eggs together at the Fairview House counter,"In an earlier scene, Sasha Keaton and Morgan Monroe share a quiet, intimate moment in the Fairview House, peeling hardboiled eggs side by side. This domestic interaction establishes a subtle bond and unspoken understanding between them, which precedes the later emotional payoff when Morgan Monroe runs to Valerie Cavendish after the plan succeeds.",Temporal Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-27,en4f8be69c09c643ddb50e5d728ced107f,en,75、INT. Harper Winslow AND Valerie Cavendish'S DEN - NIGHT ; 76、INT. Morgan Monroe'S ROOM - MOMENTS LATER,What occurs just before Sasha Keaton speaks with Morgan Monroe about confronting Lane Arden?,the silver radio rings during emotional family moment,"Shortly after a tense emotional moment in Harper Winslow and Valerie Cavendish's den, where the family is dealing with Morgan Monroe's sudden departure, the the silver radio rings and Valerie Cavendish answers it. This call sets in motion the conversation in which Sasha Keaton later advises Morgan Monroe on how to confront Lane Arden, linking the two scenes through the unfolding crisis.",Temporal Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-28,en4f8be69c09c643ddb50e5d728ced107f,en,"83、EXT. CAR POOL LINE, ELEMENTARY SCHOOL - DAY ; 84、EXT. Sasha Keaton'S YARD - DAY",What key action takes place just before the confrontation between Valerie Cavendish and Sasha Keaton unfolds at the swing set?,Valerie Cavendish kisses Morgan Monroe's hair,"Shortly after Valerie Cavendish shares a quiet moment with Morgan Monroe in the carpool line, she performs a small but telling gesture—kissing Morgan Monroe's hair—before the tension with Sasha Keaton escalates in the yard. This moment precedes the direct confrontation between the two women, setting an emotional undercurrent just prior to the conflict becoming overt. [scene: 83、EXT. CAR POOL LINE, ELEMENTARY SCHOOL - DAY]",Temporal Reasoning
