id,related_scenes,question,answer,related_context,question_type,question_source
1,"23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,","In [23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,], What is Thomas's behavioral state after deciding not to throw the baby?",Cradling the newborn,"Instead, cradles the newborn",Character Understanding,broad_coverage_scene
2,"23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,","In [23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,], What is Thomas's emotional state when he encounters the baby?",Brokenhearted and conflicted,"brokenhearted, he lifts the baby to throw it into the black water... despite his sadness, he can't bring himself to do it... cradles the newborn",Character Understanding,broad_coverage_scene
3,"35、EXT. THE PORCH, NOLAN HOUSE, NEW ORLEANS - NIGHT,",How does Benjamin come to an abrupt stop?,An oldster sticks his cane in the spokes of his wheelchair.,one of the oldsters... sticks his cane in the spokes of his wheelchair,Scene Grounding,broad_coverage_scene
4,"37、INT. THE PARLOR, NOLAN HOUSE, LATE AT NIGHT,",What does Benjamin do when he wheels to the window?,"Benjamin wheels to the window, looking at streetlights and the world beyond the gate, trying to see what's dangerous.","He wheels himself over to sit at the window looking outside... looking at the streetlights, the world beyond the gate... trying to see what's dangerous.",Scene Grounding,broad_coverage_scene
5,"42、INT. CHURCH TENT, NEW ORLEANS - A SATURDAY NIGHT,",Why does the preacher attempt to heal Benjamin?,Because Queenie told him Benjamin has the devil on his back.,QUEENIE: He's got the devil on his back... trying to ride him into the grave before his time...,Causal-Motivational Reasoning,broad_coverage_scene
6,"31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,","In [31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,], What does Benjamin's voiceover reveal about his state?",He feels he has found a home,Benjamin Button's (V.O.) I found a home...,Character Understanding,broad_coverage_scene
7,"27、INT. QUEENIE'S ROOM, OLD HOUSE, NEW ORLEANS - NIGHT","In [27、INT. QUEENIE'S ROOM, OLD HOUSE, NEW ORLEANS - NIGHT], What is the Baby's physical condition?",The Baby has the face of an old man.,the Baby with the face of an old man,Character Understanding,broad_coverage_scene
8,"31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,","In [31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,], What is Queenie's emotional state when Tizzy arrives?",Distressed and anxious,"Queenie, unable to sleep, lying in bed, looking out a small window... She nods... The baby cries out... and then it's quiet...",Character Understanding,broad_coverage_scene
9,"51、INT. THE STREETCAR, NEW ORLEANS - DAY,",Why does Ngunda Oti file his teeth?,To scare children by appearing like a cannibal.,They have me file my teeth like a cannibal...,Causal-Motivational Reasoning,broad_coverage_scene
10,"41、INT. KITCHEN, NOLAN HOUSE - NIGHT,",Why does Tizzy know Shakespeare?,His grandfather brought home plays for him to read.,My grandfather was a dresser for a famous actor. He'd bring home every play for me to read. (Shakespeare),Causal-Motivational Reasoning,broad_coverage_scene
11,"7、EXT. OLD TRAIN STATION, NEW ORLEANS - DAY,","In [7、EXT. OLD TRAIN STATION, NEW ORLEANS - DAY,], What is Mr. Gateau's behavioral state as he watches his son leave?",Blindly waving his hat goodbye.,"Mr. Gateau, blindly waving his hat goodbye to his son...",Character Understanding,broad_coverage_scene
12,"48、INT. THE PARLOR, NOLAN HOUSE - ANOTHER TIME,",Why does Mr. Oti mock white people?,"To mock their insanity, as described in his story about their treatment at the 1904 World's Fair.",but it's a completely different tone... a mockery of white people and their insanity...,Causal-Motivational Reasoning,broad_coverage_scene
13,"29、INT. QUEENIE'S ROOM - THAT NIGHT,","In [29、INT. QUEENIE'S ROOM - THAT NIGHT,], What physical conditions does the Baby exhibit according to Dr. Rose?","Severe arthritis, cataracts, loss of skin elasticity, ossified hands and feet, and signs of old age.",DOCTOR ROSE... His bones indicate severe arthritis... His skin has lost all elasticity... His hands and feet are ossified... His body is failing him before his life's begun.,Character Understanding,broad_coverage_scene
14,"30、INT. PARLOR, NOLAN HOUSE - THAT NIGHT,","In [30、INT. PARLOR, NOLAN HOUSE - THAT NIGHT,], What is Benjamin's physical condition according to the passage?",He is prematurely old and not a well child.,He's prematurely old... not a well child...,Character Understanding,broad_coverage_scene
15,"33、INT. ""NEW"" TRAIN STATION, NEW ORLEANS - ANOTHER DAY,",How is the clock marking time?,Still marking time backwards,still marking time backwards,Scene Grounding,broad_coverage_scene
16,"46、EXT. THE FRONT PORCH, THE NOLAN HOUSE - DUSK,",Why did Benjamin find the place wonderful?,Because he was with people who had put away life's inconsequences,It was a wonderful place to grow up. I was with people who had put away all the inconsequences of life,Causal-Motivational Reasoning,broad_coverage_scene
17,"46、EXT. THE FRONT PORCH, THE NOLAN HOUSE - DUSK,",Why did one of the old people fart?,To underscore the point about their state of purely being,"And one of them, as if to underscore the point, farts...",Causal-Motivational Reasoning,broad_coverage_scene
18,"34、INT. THE NOLAN HOUSE - DINING ROOM, NEW ORLEANS -","In [34、INT. THE NOLAN HOUSE - DINING ROOM, NEW ORLEANS -], What is Benjamin Button's physical condition?","Small, shrunken, hunched with age, legs and hands crippled with arthritis","small, shrunken, hunched with age, legs and hands crippled with arthritis",Character Understanding,broad_coverage_scene
19,"67、INT. FRONT ROOM, NOLAN HOUSE - ANOTHER DAY,",What does the old woman say about her dog?,"He's as old as the hills. Blind too. Can hardly get around, he won't be a bother much longer.","THE WOMAN He's as old as the hills. Blind too. Can hardly get around, he won't be a bother much longer.",Character Understanding,broad_coverage_scene
20,"55、EXT. NOLAN HOUSE, NEW ORLEANS - LATE NIGHT,",What does Queenie ask Benjamin upon his return?,Where in God's name have you been?,QUEENIE (V.O.) Where in God's name have you been?!!,Character Understanding,broad_coverage_scene
21,"42、INT. CHURCH TENT, NEW ORLEANS - A SATURDAY NIGHT,",What is the preacher's reason for commanding Benjamin to walk?,To demonstrate faith and divine inspiration.,He's going to see this little old man walk... by faith and divine inspiration alone...,Causal-Motivational Reasoning,broad_coverage_scene
22,"47、INT. THE NOLAN HOUSE, KITCHEN - ANOTHER DAY,",Why do the old people shrink when Ngunda Oti mentions cannibals?,He told them his wife was eaten by cannibals.,"NGUNDA OTI... My wife, she can't swim, so she eaten. AN OLD WOMAN... You escaped cannibals? NGUNDA OTI... I escaped across the river...",Causal-Motivational Reasoning,broad_coverage_scene
23,"14、INT. THE NEW TRAIN STATION, NEW ORLEANS - DAY,","In [14、INT. THE NEW TRAIN STATION, NEW ORLEANS - DAY,], What is Teddy Roosevelt's emotional state?",Bereft,"Teddy Roosevelt, bereft, removes his hat...",Character Understanding,broad_coverage_scene
24,"24、EXT. NEW ORLEANS, GARDEN DISTRICT - NIGHT,","In [24、EXT. NEW ORLEANS, GARDEN DISTRICT - NIGHT,], What is Thomas's behavioral state?",Scurrying with the crying infant,"Thomas, scuttling with the crying infant through narrow streets past the back porches and the back stairs of the large old moldering antebellum houses...",Character Understanding,broad_coverage_scene
25,"48、INT. THE PARLOR, NOLAN HOUSE - ANOTHER TIME,",What causes Benjamin to retreat up the stairs?,Mr. Oti sensing his presence and turning towards him.,"as Mr. Oti senses Benjamin's presence, turning... Benjamin retreating on his canes as fast as he can back up the stairs...",Causal-Motivational Reasoning,broad_coverage_scene
26,"35、EXT. THE PORCH, NOLAN HOUSE, NEW ORLEANS - NIGHT,",How does Benjamin attempt to get a better view of the street?,He leans forward while sitting on the edge of the porch.,Benjamin... wheels himself... to the very edge... leans forward to get an even better view,Scene Grounding,broad_coverage_scene
27,"38、EXT. THE FRONT LAWN, NOLAN HOUSE - MORNING,",What action does Queenie perform upon seeing General Winslow raising the flag?,She runs across the lawn with a coat for him.,Queenie comes running across the lawn with a coat for him.,Scene Grounding,broad_coverage_scene
28,"27、INT. QUEENIE'S ROOM, OLD HOUSE, NEW ORLEANS - NIGHT","In [27、INT. QUEENIE'S ROOM, OLD HOUSE, NEW ORLEANS - NIGHT], What is Mrs. Hollister's behavioral state?",Mrs. Hollister is looking very lost.,"looking very lost, looking in the room",Character Understanding,broad_coverage_scene
29,"36、INT. QUEENIE'S ROOM - NIGHT,",What actions does Tizzy perform with Benjamin?,"Tizzy picks up Benjamin, carries him out, and places him in a wheelchair.","Tizzy coming in... signal to pick him up, carrying him out... sitting him in his wheelchair",Scene Grounding,broad_coverage_scene
30,"56、INT. KITCHEN, QUEENIE'S SINK, NOLAN HOUSE - NIGHT",What does Benjamin believe about his day?,It had been the best day of my life.,BENJAMIN (V.O.)'s statement,Character Understanding,broad_coverage_scene
31,"10、EXT. NEW ORLEANS CEMETERY - DAY,",What does Daisy's voiceover say about Mr. Cake?,"Mr. Cake went back to work on his clock, laboring to finish.",DAISY'S (V.O.) Mr. Cake went back to work on his clock... laboring to finish...,Character Understanding,broad_coverage_scene
32,"59、INT. DINING ROOM, NOLAN HOUSE - THANKSGIVING,",What belief does Ngunda Oti express about birds?,Birds that can't fly are easy to eat.,NGUNDA OTI: I like birds that can't fly. They're easy to eat.,Character Understanding,broad_coverage_scene
