id,related_scenes,question,answer,related_context,question_type,question_source
1,53、EXT. PAUL'S HOUSE - SUNSET,Why does Paul prevent Margaret from opening the door?,To prevent her from exiting due to her distress,Paul grabs the door handle to keep Margaret from opening it,Causal-Motivational Reasoning,broad_coverage_scene
2,59、INT. BARNELL HOME / STUDY - EVENING,What causes Paul to mention the cruise as a memory of happiness?,To comfort Margaret by reminding her of a happier time.,Paul mentions the cruise: 'I saw you. You were happy.',Causal-Motivational Reasoning,broad_coverage_scene
3,59、INT. BARNELL HOME / STUDY - EVENING,Why does Margaret start crying after receiving the HMO letter?,The letter's content about her health issues caused her breakdown.,"Margaret starts to CRY, holding the letter up to her face the SOBS building to a full blown breakdown.",Causal-Motivational Reasoning,broad_coverage_scene
4,50、EXT. BOTTOM OF RIDGE - DAY,What caused the police to track Paul through his brother's ID?,An anonymous phone tip from a Jamaican guy,Anonymous phone tip from some Jamaican guy. Said he saw what looked like a body. We tracked you through his ID.,Causal-Motivational Reasoning,broad_coverage_scene
5,54、INT. BRANCH'S OFFICE - DAY,Why does Cam hustle Ted toward the door?,To prevent him from getting into trouble,"Cam, seeing his partner is about to get himself into a heap of trouble, hustles him toward the door.",Causal-Motivational Reasoning,broad_coverage_scene
6,54、INT. BRANCH'S OFFICE - DAY,Why does Branch say they have no case if the police say the guy was eaten by wolves?,The police's statement invalidates their case,"if the police say this guy was... Eaten by wolves, then we've got no case.",Causal-Motivational Reasoning,broad_coverage_scene
7,7、INT. INSIDE A TRASH DUMPSTER - NIGHT,Why did the second man pull the first man away?,To prevent discovery by approaching sirens.,"SIRENS closer. A second man looks in, then pulls the first man away.",Causal-Motivational Reasoning,broad_coverage_scene
8,7、INT. INSIDE A TRASH DUMPSTER - NIGHT,What caused the lid to drop after the men left?,The action of the second man pulling the first away.,"A second man looks in, then pulls the first man away. The lid drops.",Causal-Motivational Reasoning,broad_coverage_scene
9,28、EXT. TOP OF THE HILL - CONTINUOUS,"In [28、EXT. TOP OF THE HILL - CONTINUOUS], What emotional state does the nephew display when his toy is taken?",Desperate to retrieve his toy.,NEPHEW Leggo... it's mine. Uncle Gary!,Character Understanding,broad_coverage_scene
10,6、EXT. TRASH DUMPSTER - NIGHT,What happens immediately after the street lamp buzzes to life?,The man checks to ensure he's alone,"Night time now, as a street lamp BUZZES to life. A middle aged MAN... checks to make sure he's alone",Temporal Reasoning,broad_coverage_scene
11,6、EXT. TRASH DUMPSTER - NIGHT,When does the man check to ensure he's alone?,After the lid reopens and before balancing the mini-bar fridge,"He gently lowers the lid, opens it again a moment later",Temporal Reasoning,broad_coverage_scene
12,1、EXT. ROAD - WINTER DAY,What describes the police car's visibility?,Intermittently visible through blowing snow,"A police car, nothing more than a speck on the landscape, is intermittently visible through the blowing snow.",Scene Grounding,broad_coverage_scene
13,9、EXT. CITY STREET - DAY,When does Howard realize Ted is taping him?,After he pulls off his mitt to shake hands and sees the camera,"HOWARD (cont'd) More than I could normally afford, I'll tell ya. (seeing the camera) Hey! What do you think you're you doing?",Temporal Reasoning,broad_coverage_scene
14,63、INT. JIMBO'S CAR / GRAVEYARD PARKING LOT - CONTINUOUS,Why does Gary mention checking funeral announcements?,He implies Ted's disappearance is related to a funeral event.,Gary's statement about checking funeral announcements follows Ted's disappearance and reappearance.,Causal-Motivational Reasoning,broad_coverage_scene
15,52、INT. CITY MORGUE (BODY TRAY),Why does Ted mention the brother's attempt to cash the policy?,To suggest the brother's possible involvement in the death.,"Ted asks if it would surprise Boyle that the brother tried to cash the policy, implying suspicion.",Causal-Motivational Reasoning,broad_coverage_scene
16,47、EXT. BOTTOM OF THE RIDGE - SUNSET,Why does Paul apologize while handling the corpse?,He is sorry about the disrespectful treatment of the dead man.,PAUL Sorry about this part.,Causal-Motivational Reasoning,broad_coverage_scene
17,51、INT. INFLATABLE GOLF DOME - LATE AFTERNOON,What causes Ted to receive the phone call about his mother?,The activation of his mother's life insurance policy.,TED...Million dollar life policy just checked.,Causal-Motivational Reasoning,broad_coverage_scene
18,10、INT. INSURANCE OFFICE / COMMON AREA - DAY,"In [10、INT. INSURANCE OFFICE / COMMON AREA - DAY], What is Ted's emotional state when speaking to Howard?",Bitter,to himself - bitter,Character Understanding,broad_coverage_scene
19,53、EXT. PAUL'S HOUSE - SUNSET,What caused Paul's stress during the interview?,The recent traumatic event reported by the police,The police told us what happened... you just have to ask yourself,Causal-Motivational Reasoning,broad_coverage_scene
20,24、INT. GARAGE - CONTINUOUS,How does the fridge door open when Margaret tries to pull it?,It opens just a crack before the chain stops it.,She tugs on the door. It opens just a crack before the chain stops it.,Scene Grounding,broad_coverage_scene
21,16、EXT. INSIDE THE DUMPSTER,What does Paul claim about the electric company?,He suggests it could be a problem on their end.,Could it possibly be a problem on your end?,Character Understanding,broad_coverage_scene
22,23、EXT. INSIDE A TRASH DUMPSTER - NIGHT,"In [23、EXT. INSIDE A TRASH DUMPSTER - NIGHT], What is Jimbo's emotional state when he checks the trash?",Nervous and a little out of sorts,"Jimbo, a bear of man, keeps watch. He's nervous, a little out of sorts.",Character Understanding,broad_coverage_scene
23,23、EXT. INSIDE A TRASH DUMPSTER - NIGHT,"In [23、EXT. INSIDE A TRASH DUMPSTER - NIGHT], What is Gary's emotional state at the end of the scene?",Embarrassed,"Gary, embarrassed, digs in the trash with his feet.",Character Understanding,broad_coverage_scene
24,10、INT. INSURANCE OFFICE / COMMON AREA - DAY,"In [10、INT. INSURANCE OFFICE / COMMON AREA - DAY], What is Howard's emotional state during the scene?",Stunned,a stunned Howard stares at the camera,Character Understanding,broad_coverage_scene
25,35、INT. PAUL'S KITCHEN - NIGHT,"In [35、INT. PAUL'S KITCHEN - NIGHT], What is Margaret's emotional state after Paul's statement about Raymond?",Relieved,"Margaret smiles, relieved",Character Understanding,broad_coverage_scene
26,12、INT. INSURANCE OFFICE / BRANCH'S OFFICE - MOMENTS LATER,"In [12、INT. INSURANCE OFFICE / BRANCH'S OFFICE - MOMENTS LATER], What is Paul Barnell's age and description?",Paul Barnell is in his 40s and described as a mild-mannered everyman in a cheap suit.,"PAUL BARNELL (40s), a mild-mannered everyman wrapped in a cheap suit",Character Understanding,broad_coverage_scene
27,1、EXT. ROAD - WINTER DAY,How does the police car appear in the scene?,A speck on the landscape visible through blowing snow,"A police car, nothing more than a speck on the landscape, is intermittently visible through the blowing snow.",Scene Grounding,broad_coverage_scene
28,51、INT. INFLATABLE GOLF DOME - LATE AFTERNOON,What causes Ted to confess Tiffany is the most important in his life?,Her comment about being a notch on his briefcase.,TIFFANY...another notch on your briefcase. TED...the most important thing in my life.,Causal-Motivational Reasoning,broad_coverage_scene
29,"56、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - DAY",Why did the police track Paul down?,Because they found Raymond's wallet.,"The police say they found Raymond's wallet, that's how they tracked you down?",Causal-Motivational Reasoning,broad_coverage_scene
30,33、EXT. WOODED AREA - LATER,"In [33、EXT. WOODED AREA - LATER], What is Paul's behavioral state in the car?",Adjusting a pillow taped to his stomach and pulling on a blue ski mask.,"Paul adjusts a pillow he has taped to his stomach, then pulls on a blue ski mask.",Character Understanding,broad_coverage_scene
