id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en049957b3c0b54085baddbec23e00506c-1,en049957b3c0b54085baddbec23e00506c,en,28、INT. BEDROOM - NIGHT,What is Harper Delaney's objective when he climbs into the big bed and lies down?,To leave the room,"Harper Delaney climbs into the big bed fully clothed, turns off the light, and lies in the moonlight without moving. After twenty seconds, the bedroom door opens, and he gets up as casually as possible, indicating his intention to exit. He tells Sasha Keaton she should go and they’ll talk in the morning, but before he can speak further, she silences him by placing her hand over his mouth [Harper Delaney Tries to Leave but Sasha Keaton Silences Him].",Character Understanding
legacy-en049957b3c0b54085baddbec23e00506c-10,en049957b3c0b54085baddbec23e00506c,en,23、INT. KITCHEN - DAY ; 23、INT. KITCHEN - DAY,What moment during the meal creates the emotional tension that leads Sasha Keaton to place the the black watch on Harper Delaney's finger?,Harper Delaney and Sasha Keaton exchange prolonged eye contact during a tense meal,"During a quiet but strained meal in the kitchen, Harper Delaney and Sasha Keaton sit across from each other, their interactions minimal. As they eat, their eyes repeatedly meet and break away, building unspoken tension. Harper Delaney notices ants moving erratically on the wall behind Sasha Keaton and sets his fork down, signaling discomfort. This charged silence and sustained eye contact establish a psychological pivot that culminates in Sasha Keaton's decisive gesture with the the black watch later in the same scene.",Causal-Motivational Reasoning
legacy-en049957b3c0b54085baddbec23e00506c-11,en049957b3c0b54085baddbec23e00506c,en,15、INT. Harper Delaney'S HOUSE - DAY ; 42、INT. Sasha Keaton'S BEDROOM - DAY,What moment prior to Harper Delaney hiding the photo makes his action significant in light of Sasha Keaton's presence?,Sasha Keaton enters just as Harper Delaney notices the photo of the the wooden case girl and hides it under the bed,"Harper Delaney has just shut the chest and dropped it back into Sasha Keaton's suitcase when he notices the photo of the the wooden case girl on the pillow. He whips it under the bed just as Sasha Keaton enters, making the concealment significant because it happens in direct response to her arrival.",Causal-Motivational Reasoning
legacy-en049957b3c0b54085baddbec23e00506c-12,en049957b3c0b54085baddbec23e00506c,en,15、INT. Harper Delaney'S HOUSE - DAY ; 15、INT. Harper Delaney'S HOUSE - DAY,"In [15、INT. Harper Delaney'S HOUSE - DAY], what action immediately before the kitchen scene establishes Harper Delaney's strained demeanor during the tour?",Harper Delaney leads Sasha Keaton to the lounge,"As Harper Delaney shows Sasha Keaton through his house, he opens the door to the lounge and quietly indicates the room before guiding her down the hallway toward the kitchen. His movements are tense and deliberate, and his face appears pale as he nods to himself, signaling discomfort that carries into the next space.",Causal-Motivational Reasoning
legacy-en049957b3c0b54085baddbec23e00506c-13,en049957b3c0b54085baddbec23e00506c,en,83、EXT. LAKE IN FOREST - DAY ; 164、INT. Noel Marlowe'S SUITE - NIGHT,How does Harper Delaney's relationship with Noel Marlowe evolve from their initial confrontation at the lake to the final encounter in Noel Marlowe's suite?,"Harper Delaney consistently treats Noel Marlowe as an adversary, escalating from intervention to direct confrontation","From the lakeside scene where Harper Delaney swims toward Noel Marlowe to stop him from submerging Sasha Keaton, their relationship is marked by mutual hostility. Noel Marlowe responds with a threatening stare, and in subsequent scenes, the tension solidifies: Harper Delaney confronts Noel Marlowe in the kitchen, accusing him of threatening Sasha Keaton, while Noel Marlowe positions himself aggressively with a the red photograph. This adversarial dynamic culminates in Noel Marlowe's suite, where he physically attacks Harper Delaney upon seeing him, confirming an ongoing and intensifying hostile relationship.",Role-Relation Continuity
legacy-en049957b3c0b54085baddbec23e00506c-14,en049957b3c0b54085baddbec23e00506c,en,73、INT. Harper Delaney'S LOUNGE - NIGHT ; 145、INT. / EXT. Silverbrook Hospital EXIT - NIGHT,How does the working relationship between Sasha Keaton and Adrian Bellamy evolve from their interaction in the lounge to the Silverbrook Hospital exit?,They remain aligned but shift from active cooperation to non-interventionist observation,"From the lounge scene through the Silverbrook Hospital exit, Sasha Keaton and Adrian Bellamy maintain a positive alignment rooted in trust and shared purpose. In the lounge, they engage directly, with Sasha Keaton relying on Adrian Bellamy for translation and emotional support, reflecting a cooperative and trusting dynamic. Later, at the motel, Sasha Keaton is seen as part of Adrian Bellamy’s close circle, reinforcing their bond as trusted companions. By the Silverbrook Hospital exit, direct interaction ceases, but Adrian Bellamy’s presence and passive observation—standing nearby without intervening—suggest continued favor and situational restraint rather than a break in allegiance.",Role-Relation Continuity
legacy-en049957b3c0b54085baddbec23e00506c-16,en049957b3c0b54085baddbec23e00506c,en,42、INT. Sasha Keaton'S BEDROOM - DAY ; 44、INT. Sasha Keaton'S ROOM - DAY ; 28、INT. BEDROOM - NIGHT,"What pivotal event initiates the shift in Harper Delaney and Sasha Keaton's relationship, leading directly to their intimate and domestic moments together?",Harper Delaney Meets Sasha Keaton at the Silverbrook Hospital,"The narrative turns decisively when Harper Delaney greets Sasha Keaton at the arrivals gate, marking the beginning of their sustained interaction. This encounter sets in motion a series of closely linked developments, including their arrival at the shared space, exploration of common areas, and eventual physical intimacy, all unified by the growing connection established at the Silverbrook Hospital. [9、INT. ARRIVALS GATE - DAY]",Narrative Progression
legacy-en049957b3c0b54085baddbec23e00506c-17,en049957b3c0b54085baddbec23e00506c,en,15、INT. Harper Delaney'S HOUSE - DAY ; 15、INT. Harper Delaney'S HOUSE - DAY ; 18、INT. SPARE BEDROOM - DAY,"What pivotal event sets in motion the sequence in which Harper Delaney shows Sasha Keaton the lounge and kitchen, she begins unpacking, and he departs while she pauses to look out the window?",Harper Delaney and Sasha Keaton Arrive and See the Banner,"The arrival at the house and the immediate reaction to the banner marks the shift into the core domestic space, initiating a chain of actions centered on settling in and unspoken tension. This moment transitions the narrative from external movement to interior engagement, directly enabling the subsequent scenes of exploration, routine activity, and emotional pause. [15、INT. Harper Delaney'S HOUSE - DAY]",Narrative Progression
legacy-en049957b3c0b54085baddbec23e00506c-18,en049957b3c0b54085baddbec23e00506c,en,42、INT. Sasha Keaton'S BEDROOM - DAY ; 44、INT. Sasha Keaton'S ROOM - DAY ; 28、INT. BEDROOM - NIGHT,What pivotal event shifts the narrative trajectory toward the intimate encounter and its immediate aftermath between Harper Delaney and Sasha Keaton?,Sasha Keaton Initiates Physical Encounter After Harper Delaney's Rejection,"In the scene set in Sasha Keaton's bedroom, a charged emotional exchange culminates in Sasha Keaton initiating physical intimacy with Harper Delaney shortly after he rejects her in a vulnerable moment. This act redefines their dynamic and directly precipitates the subsequent sequence in which they engage in sex with intense eye contact, Sasha Keaton assumes control during the encounter, and ultimately departs after Harper Delaney reaches climax. [42、INT. Sasha Keaton'S BEDROOM - DAY]",Narrative Progression
legacy-en049957b3c0b54085baddbec23e00506c-26,en049957b3c0b54085baddbec23e00506c,en,28、INT. BEDROOM - NIGHT ; 42、INT. Sasha Keaton'S BEDROOM - DAY,"By the time Harper Delaney hides the photo before Sasha Keaton enters, what has already taken place in the bedroom at night?",Harper Delaney lies in bed in the moonlight after turning off the light,"Earlier in the narrative, Harper Delaney is seen lying in bed in the dim light after switching off the lamp, a quiet moment that precedes the later action where he conceals a photograph just before Sasha Keaton arrives. The two events are separated by several scenes, but the initial moment establishes the setting and Harper Delaney's presence in the space well before the tension of hiding the photo unfolds.",Temporal Reasoning
