id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-10,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,36、场36，日，教练办公室 ; 45、场45，夜，体操舘内,是什么更早发生的情节，推动了阿信在深夜倒立凝视黑暗中的体操馆？,阿信因被移出比赛名单而情绪崩溃，踢倒椅子后含恨离去,阿信在教练办公室得知自己无法参赛，感到被否定，愤怒地踢倒椅子并离开。这一挫败与情感爆发成为他后来独自返回体操馆、以倒立姿态静默告别的内在驱动力，标志着他对体操的情感转折。,Causal-Motivational Reasoning
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-11,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,33、场33，黄昏，铁道涵洞 ; 34、场34，黄昏，水果摊,在小贤发现阿信受伤并追问体操比赛之前，哪一个关键事件直接导致阿信脚踝带伤回家？,阿信在国术馆包扎脚踝后被妈妈用机车载回家,阿信脚踝受伤后前往国术馆处理伤口，随后由母亲接回，这一过程使他带着明显伤势出现在家中，从而引发小贤的注意和追问。事件的发生顺序和伤情的可见性构成了后续互动的直接前提。,Causal-Motivational Reasoning
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-12,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,32、场32，日，体操馆内跳马区 ; 137、场137，日，国际体操馆内,从[32、场32，日，体操馆内跳马区]到[137、场137，日，国际体操馆内]，阿信和黄教练之间的指导关系在经历冲突与修复后，最终稳定为何种形式？,从技术指导的师生关系发展为情感深厚、彼此信赖的师徒关系,两人初期建立在训练基础上的正向师生关系曾因比赛名单事件出现短暂破裂，但后续通过黄教练持续的关心与阿信的回归逐步深化，最终在国际赛场的高光时刻体现出超越普通教学的情感联结，形成以信任和情感投入为核心的师徒关系。,Role-Relation Continuity
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-13,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,37、场37，日，铁路平交道 ; 137、场137，日，国际体操馆内,从铁路平交道到国际体操馆的回忆场景中，菜甫和阿信之间的关系或分工如何延续？,阿信始终保护并配合菜甫行动,两人在多个场景中表现出持续的信任与合作，包括共同应对冲突、通过留言协调行动、默契配合制造假警报等，显示出阿信始终在行动上支持和保护菜甫，关系稳定且分工明确。,Role-Relation Continuity
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-14,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,25、场25，日，体操馆鞍马区 ; 137、场137，日，国际体操馆内,从[25、场25，日，体操馆鞍马区]到[137、场137，日，国际体操馆内]，小树对阿信的关系如何演变？,从竞争中的同伴变为因对方成功而产生情感共鸣的认同关系,最初两人在鞍马训练中彼此关注，处于竞争中带有合作意味的同伴状态；随着剧情推进，小树多次表现出对阿信的信任与关心，尽管仍视其为对手，但最终在国际赛场看到阿信成功时露出真诚笑容，标志其情感上已产生深层认同，关系由竞争性同伴升华为情感共鸣。,Role-Relation Continuity
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-17,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,33、场33，黄昏，铁道涵洞 ; 34、场34，黄昏，水果摊 ; 34、场34，黄昏，水果摊,哪一个事件成为后续母女对峙情绪升级的关键转折？,妈妈骑机车载受伤的阿信经过铁道涵洞,该场景首次将身体创伤与沉默的共处空间并置，通过封闭的涵洞环境和母女间无交流的同行，为后续一系列言语冲突和情感爆发埋下张力伏笔，构成叙事推进的枢纽点。,Narrative Progression
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-18,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,41、场41，日，水闸门河堤边 ; 42、场42，日，撞球间／电话秘书办公室 ; 42、场42，日，撞球间／电话秘书办公室,什么事件直接触发了阿信紧急撤离、后续突袭撞球帮以及临行前凝视小树这一系列行动？,阿信接通电话收到埋伏警告,该通电话带来了外部威胁的即时情报，迫使阿信中断原有计划，转为主动撤离与反击，成为后续一系列决断行动的导火索。,Narrative Progression
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-25,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,2、场2，夜，医院走廊 ; 33、场33，黄昏，铁道涵洞,到了妈妈骑机车载受伤的阿信经过铁道涵洞时，此前在医院走廊里已发生的紧急情况是什么？,医护人员紧急推送阿信进入急诊室,在铁道涵洞场景之前，故事已在医院走廊展开，阿信被医护人员迅速推进急诊室，标志着救援阶段的开始，为后续母亲接回儿子的情节提供前提。,Temporal Reasoning
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-26,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,15、场15，日，体操馆内 ; 27、场27，日，体操馆跳马区,在小小树跳马成功并回应教练对小阿信的夸奖之前，他作为队长组织了什么体现其领导角色的关键行动？,带领队员跑步热身，履行队长的组织职责,从热身到跳马成功之间存在12场的时间跨度，表明热身是后续表现的基础准备阶段，且由队长发起。,Temporal Reasoning
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-27,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,28、场28，日，县立体育舘 ; 29、场29，日，县立体育舘队员休息区,在“小小贤祝贺哥哥小阿信夺冠并告知母亲缺席”之前，小阿信先采取了什么关键行动？,请求上场参赛,小阿信在比赛过程中因队友受伤，主动提出代替上场，这一决定直接推动了他后续参与比赛并夺冠的情节。该行动发生在祝贺场景的前一场戏，构成时间上的直接铺垫。,Temporal Reasoning
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-29,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,6、场6，日，水果摊后巷 ; 7、场7，日，水果摊旁稻田,“小小贤骑三轮车追小阿信”之后不久，小阿信接下来做了什么？,小阿信奔跑逃离,根据场景顺序，小阿信在被小小贤骑三轮车追赶后，立即从水果摊后巷跑向旁边的稻田，行动连续且场景紧接，表明其逃离行为是追逐的直接反应。,Temporal Reasoning
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-30,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,18、场18，日，体操馆二楼办公室 ; 19、场19，日，体操馆倒立练习区/二楼器材室,在“黄教练指导倒立训练时发现小阿信偷练”之前，前面先发生了什么关键情节？,18、场18，日，体操馆二楼办公室,该事件发生在目标场景的前一场，由同一角色黄教练发起，构成训练流程的起始环节。,Temporal Reasoning
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-5,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,30、场30，夜，阿信小贤家,在小阿信比赛归来后与家人互动的这场戏中，最能推动情节发展的关键动作是什么？,小阿信从凳子跳下并询问妈妈是否来看他比赛,这一动作触发了后续家庭成员之间的张力释放：母亲的沉默与回避揭示了她对儿子成就的冷淡态度，小阿信的情绪变化由此展开，弟弟的向往与母亲的激烈反对也紧随其后，使这场戏成为家庭内部价值观冲突的集中爆发点。,Scene Grounding
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-6,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,39、场39，日，阿信家餐桌/电话秘书办公室,在[39、场39，日，阿信家餐桌/电话秘书办公室]中，哪一动作最直接体现了小贤对哥哥离去的内心反应？,小贤担忧地看着哥哥骑车离去,这场戏通过小贤凝视哥哥离开的背影，表现出他对阿信处境的关切，与母亲的责骂形成情绪对比，凸显兄弟间无声的情感联结。,Scene Grounding
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-7,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,42、场42，日，撞球间／电话秘书办公室,在撞球间那场戏中，哪个动作直接触发了阿信下达撤离指令的连锁反应？,传呼机响起后寻求零钱未果,传呼机响起是外部指令进入的关键信号，阿信随即尝试打电话却缺乏零钱，这一阻碍凸显处境的紧迫与非常规，成为他与环境互动的转折点，最终导向通话、决策与集体行动的展开。该动作串联起信息接收、资源匮乏、权力展示与命令发布的全过程，是推动情节跃迁的核心触发点。,Scene Grounding
legacy-ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab-8,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,43、场43，夜，庙口小树家面摊/电话秘书办公室 ; 39、场39，日，阿信家餐桌/电话秘书办公室,在小贤望着哥哥离开、母亲责骂中催促他吃饭之前，哪一个更早的举动埋下了情感上的伏笔？,阿信临行前注视小树,阿信在离开前默默注视小树收拾碗筷，这一未言明的关注流露出他对小树的在意，也为后续家庭场景中阿信缺席时的情感张力提供了动因。小贤的沉默凝望与母亲的责骂，折射出阿信这一动作所牵连的家庭情绪链条。,Causal-Motivational Reasoning
task2-candidate-4659cdc9a3572ffcd328,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,59、60,菜甫在舞厅被人群挤开后独自走向包厢，这一行为如何预示其后续的孤立与崩溃？,菜甫在阿信赢得喝彩后试图分享荣耀却被舞客挤开，心生不满而鬼鬼祟祟走向包厢，标志其从依附者变为被排斥者；随后在包厢发现药瓶已空并砸毁，显示其精神依赖已深，为后续断瘾崩溃埋下伏笔。,"scene 59: △菜甫站在阿信身边跟着跳舞想沾点光，不料却被舞客们挤开，生气地朝包厢鬼鬼祟祟走去。
scene 60: △菜甫站在玻璃窗边拿出打火机，发现保济丸瓶已空。△菜甫砸掉空瓶。",Scene Grounding
task2-candidate-4679a5b506ff40dffc3d,ch0b3b18b813e9ce3dcea7e660ab062e79e2637aab,zh,55、56,菜甫最初因何陷入毒品依赖，后续行为如何反映其心理状态的变化？,菜甫在舞厅被木瓜阻止离开后，被其引导吸食安非他命并获赠毒品作为见面礼，首次接触即完成从被动社交失败者到实际吸毒者的转变；此后在装货时表现出异常亢奋与外貌变化，摔车后透露已一周未眠，显示毒品已造成生理与心理依赖。,"scene 55: △木瓜将安非他命洒在锡箔纸上，以打火机在锡箔纸下加热。△菜甫好奇，木瓜将铝箔伸向菜甫，菜甫贴近铝箔嗅闻。木瓜：吸大口一点……△菜甫吸了一大口，吐出浓密白烟，神色起了变化。△木瓜将剩余的安非他命塞给菜甫。木瓜：这算见面礼啦！以后就是自己人，如果想要爽一下，格来找我（台语）。△菜甫手握着保济丸瓶不知如何是好。
scene 56: △菜甫脸颊明显消瘦，还有严重的黑眼圈，疯狂地大叫，越骑越快。△阿信发现菜甫怪怪的。",Character Understanding
