id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,第60场,在宫二家中，老姜宣布灵柩安排并交出遗物时，他最想完成什么？,送灵柩回乡并交遗物,老姜在宫二家中向众人说明次日将灵柩送回老家，并亲手交付宫二留下的遗物，表明其核心意图是完成身后事的妥善安置。,Character Understanding
2,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,第38场,面对师父对老猿挂印的点拨，马三的反问出于何种判断？,质疑教诲真理性,马三在回应师父关于‘老猿挂印’的教导时，以‘兵无常势，水无常形’反问技法是否必须回头，表现出他对师父所传武学原则的根本性质疑，这一判断直接挑战了师门信条。,Character Understanding
3,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,第56场,在一线天将一半的钱塞给三江水时，他做出这一举动背后的判断是什么？,只此一次，再犯即惩,一线天以归还部分钱财并发出隐晦威胁的方式，表明此次宽恕仅限一次，若三江水再犯，将面临严重后果。此举既展现克制，也划清底线。,Character Understanding
4,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,第41场,在宫二闯入协和会时，她为何坚持要求马三现身？,夺回家族之物,宫二认为宫家之物应归还给宫家人，她虽已许亲，但仍视自己为家族代表，因此执意当面索要，体现她对家族责任与尊严的坚持。,Character Understanding
5,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,第58场,在[宫二向叶问道别并了结往事]这场戏中，推动两人对话走向告别的关键动作是什么？,叶问询问宫二是否即将远行,叶问察觉宫二言语中的离意，主动发问，引出她关于归乡与了结往事的坦白，使对话进入告别主题。,Scene Grounding
6,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,第54场,在[第54场]中，宫二如何了结与马三的恩怨？,击败马三并道出老猿挂印的真义,宫二在与马三对决中将其打倒，随后借老猿挂印的‘回头’之义，点明自己为父还债、了结宫家恩怨的立场，完成动作与精神的双重收束。,Scene Grounding
7,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,第1场,在[叶问在祠堂练棍并讲述身世]这场戏中，推动人物身份确立的核心动作是什么？,叙述自己的家世背景,这场戏通过叶问在祠堂练棍时的独白，首次系统交代其家族渊源、社会地位与早年生活，将个人身份与咏春传承联系起来，为后续人物动机奠定基础。动作与叙述同步进行，但身世陈述是构建角色根基的关键情节。,Scene Grounding
9,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,第59场; 第60场,宫二病逝后，老姜为何随即决定交付她的遗物并安排灵柩回乡？这一行动的直接动因是什么？,宫二在临终前吸食鸦片、卧床不起，标志着她生命的终结,宫二在病榻上吸食鸦片后陷入恍惚，象征其生命走向终点，这一状态为后续老姜处理后事提供了时间与情感上的起点。她的离世是老姜执行遗愿、归还遗物和安排归葬的直接前提。,Causal-Motivational Reasoning
10,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,第42场; 第59场,宫二为何在吸食鸦片时陷入对雪林练武的回忆？这一心理触发与她早前在雪地中褪下戒指的行为有何关联？,宫二在雪地里褪下戒指，象征她斩断世俗牵绊，从此将情感与人生寄托于武学与记忆。,褪下戒指的举动标志着宫二与过去生活的彻底告别，这一行为承载了她压抑情感、坚守承诺的心理转折，成为日后沉溺回忆与鸦片的精神伏笔。两个场景通过情感延续与自我放逐的主题相连，戒指的交还预示了她此后孤独终老的命运走向。,Causal-Motivational Reasoning
11,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,第54场; 第54场,在宫二与马三对决时，是什么更早的干预行为确保了她能独自完成这场较量并揭示‘老猿挂印’的真义？,老姜阻止马三的徒弟介入冲突,在对决现场，马三的徒弟多次试图介入，但被老姜拦下并击退。这一干预维持了宫二与马三之间一对一的对决局面，使宫二得以独立完成复仇，并在击败马三后从容揭示父亲所授‘老猿挂印’中‘回头’的深意。老姜的行动虽未成功压制马三，但清除了外部干扰，为宫二履行个人使命创造了必要条件。,Causal-Motivational Reasoning
